nombre,curso,seccion,notas
Alumno1,Python,A,"0,3,20,12"
Alumno2,SQL,A,"2,0,20,0"
Alumno3,Spring Boot,C,"2,6,8,10"
Alumno4,SQL,A,"19,5,4,17"
Alumno5,Java,A,"2,20,17,16"
Alumno6,Spring Boot,C,"16,11,14,7"
Alumno7,Java,C,"18,13,13,12"
Alumno8,Java,A,"19,0,14,17"
Alumno9,Java,B,"13,13,1,20"
Alumno10,Java,B,"16,10,13,5"
Alumno11,SQL,B,"16,1,10,12"
Alumno12,Spring Boot,C,"18,16,16,0"
Alumno13,Java,A,"11,15,0,1"
Alumno14,SQL,C,"16,5,20,5"
Alumno15,Java,B,"2,20,17,9"
Alumno16,Spring Boot,B,"15,18,9,10"
Alumno17,Algoritmos,B,"20,10,2,14"
Alumno18,Python,B,"10,18,13,13"
Alumno19,SQL,A,"7,5,5,10"
Alumno20,Java,C,"18,2,19,11"
Alumno21,Algoritmos,A,"19,20,4,18"
Alumno22,SQL,A,"11,4,13,17"
Alumno23,Algoritmos,B,"19,11,19,8"
Alumno24,Algoritmos,A,"17,14,17,1"
Alumno25,Java,A,"19,19,10,17"
Alumno26,Spring Boot,C,"11,16,10,6"
Alumno27,SQL,B,"1,7,12,20"
Alumno28,SQL,B,"6,1,2,8"
Alumno29,Python,B,"8,3,17,9"
Alumno30,Spring Boot,C,"15,13,13,1"
Alumno31,Python,A,"9,11,11,2"
Alumno32,Spring Boot,B,"5,3,18,4"
Alumno33,SQL,C,"5,14,9,10"
Alumno34,Java,A,"11,3,3,0"
Alumno35,SQL,C,"8,10,0,16"
Alumno36,Algoritmos,C,"10,16,1,20"
Alumno37,Algoritmos,C,"9,9,2,1"
Alumno38,SQL,A,"8,3,6,4"
Alumno39,Java,C,"6,14,12,0"
Alumno40,Algoritmos,C,"3,8,2,16"
Alumno41,SQL,C,"3,17,3,9"
Alumno42,SQL,C,"8,12,5,5"
Alumno43,SQL,A,"1,3,10,8"
Alumno44,Algoritmos,B,"18,16,17,16"
Alumno45,Algoritmos,C,"7,16,4,2"
Alumno46,Spring Boot,A,"14,17,4,14"
Alumno47,SQL,C,"17,4,5,9"
Alumno48,SQL,A,"12,10,13,3"
Alumno49,SQL,C,"15,8,11,14"
Alumno50,Java,C,"1,20,14,2"
